lon,lat,ruta
-70.37462,-33.35761,1
-70.37449,-33.35759,1
-70.3744,-33.35757,1
-70.37435,-33.35755,1
-70.37426,-33.35751,1
-70.37421,-33.35749,1
-70.37416,-33.35746,1
-70.37402,-33.35739,1
-70.37393,-33.35734,1
-70.37369,-33.35722,1
-70.3736,-33.357170000000004,1
-70.37342,-33.35707,1
-70.37334,-33.35702,1
-70.37328,-33.35699,1
-70.37324,-33.35696,1
-70.37311,-33.35685,1
-70.37304,-33.3568,1
-70.37299,-33.35675,1
-70.37292,-33.35667,1
-70.37287,-33.35662,1
-70.37278,-33.35653,1
-70.37274,-33.35648,1
-70.37262,-33.35639,1
-70.3725,-33.3563,1
-70.37238,-33.35623,1
-70.37228,-33.35618,1
-70.37218,-33.35614,1
-70.37211,-33.35613,1
-70.37198,-33.35609,1
-70.37188,-33.35609,1
-70.37172,-33.35609,1
-70.37162,-33.3561,1
-70.37152,-33.35611,1
-70.37142,-33.35614,1
-70.37123,-33.3562,1
-70.37113,-33.35624,1
-70.37098,-33.3563,1
-70.3709,-33.35633,1
-70.37079,-33.35634,1
-70.37072,-33.35634,1
-70.37068,-33.35634,1
-70.37051,-33.3563,1
-70.37044,-33.35626,1
-70.37035,-33.35618,1
-70.37027,-33.35608,1
-70.37015,-33.35587,1
-70.37012,-33.3558,1
-70.37006,-33.35566,1
-70.37003,-33.35558,1
-70.36998,-33.35548,1
-70.36989,-33.35536,1
-70.36982,-33.35527,1
-70.36977,-33.35519,1
-70.36973,-33.35511,1
-70.36962,-33.35493,1
-70.36955,-33.35481,1
-70.36953,-33.35479,1
-70.36952,-33.35477,1
-70.36948,-33.354730000000004,1
-70.36943,-33.35466,1
-70.3694,-33.35463,1
-70.36934,-33.35458,1
-70.36924,-33.35451,1
-70.36909,-33.35439,1
-70.36883,-33.35421,1
-70.36869,-33.35412,1
-70.36862,-33.35408,1
-70.36856,-33.35405,1
-70.36848,-33.35401,1
-70.36841,-33.35399,1
